siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-02 20:00",32
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-02 20:00",31
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-02 20:00",17
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-02 20:00",20
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-02 21:00",34
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-02 21:00",1.5
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-02 21:00",0.41
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-02 21:00",24
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-02 21:00",21
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-02 21:00",24
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-02 22:00",1.1
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-02 22:00",0.34
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-02 22:00",26
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-02 22:00",31
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-02 22:00",18
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-02 22:00",20
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-02 23:00",25
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-02 23:00",0.9
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-02 23:00",0.34
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-02 23:00",22
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-02 23:00",42
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-02 23:00",18
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-03 00:00",23
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-03 00:00",25
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-03 00:00",41
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-03 00:00",16
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-03 00:00",0.33
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-03 00:00",1.7
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-03 01:00",1.6
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-03 01:00",0.32
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-03 01:00",18
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-03 01:00",34
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-03 01:00",18
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-03 01:00",26
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-03 02:00",20
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-03 02:00",14
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-03 02:00",33
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-03 02:00",35
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-03 02:00",0.26
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-03 02:00",2.3
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-03 03:00",2.3
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-03 03:00",0.26
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-03 03:00",40
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-03 03:00",34
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-03 03:00",10
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-03 03:00",21
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-03 04:00",2.5
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-03 04:00",19
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-03 04:00",12
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-03 04:00",38
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-03 04:00",32
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-03 04:00",0.3
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-03 05:00",2
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-03 05:00",0.27
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-03 05:00",37
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-03 05:00",36
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-03 05:00",11
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-03 05:00",19
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-03 06:00",1.6
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-03 06:00",0.28
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-03 06:00",42
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-03 06:00",28
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-03 06:00",9
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-03 06:00",19
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-03 07:00",1.3
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-03 07:00",14
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-03 07:00",8
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-03 07:00",26
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-03 07:00",49
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-03 07:00",0.31
